sample_idx,true_label,prediction_label,prediction_probability,is_misclassified,top_features,feature_directions,feature_shap_values,file_path
105,GOOD CREDIT RISK,BAD CREDIT RISK,0.6645510142591721,True,checking_status_<0 | checking_status_no checking | duration,increase_risk | increase_risk | increase_risk,0.06907923581387736 | 0.05802197496783876 | 0.035004463217933685,SHAP/100 Local Shap/shap_tuples_non_prefix_105.json
109,BAD CREDIT RISK,GOOD CREDIT RISK,0.22450493817555806,True,checking_status_no checking | credit_history_critical/other existing credit | checking_status_<0,decrease_risk | decrease_risk | decrease_risk,-0.12054899401921795 | -0.04597685073753482 | -0.03781184535430145,SHAP/100 Local Shap/shap_tuples_non_prefix_109.json
121,BAD CREDIT RISK,GOOD CREDIT RISK,0.41163514164308224,True,credit_history_critical/other existing credit | duration | checking_status_no checking,decrease_risk | decrease_risk | increase_risk,-0.0725987938507096 | -0.06161938850993751 | 0.05422313191880805,SHAP/100 Local Shap/shap_tuples_non_prefix_121.json
154,GOOD CREDIT RISK,BAD CREDIT RISK,0.6108333878713286,True,checking_status_<0 | checking_status_no checking | duration,increase_risk | increase_risk | decrease_risk,0.05835787660198613 | 0.056202786758051855 | -0.04569909823832585,SHAP/100 Local Shap/shap_tuples_non_prefix_154.json
159,BAD CREDIT RISK,GOOD CREDIT RISK,0.4380419765463345,True,credit_history_critical/other existing credit | checking_status_no checking | checking_status_<0,decrease_risk | increase_risk | increase_risk,-0.10114178802192458 | 0.05857187729680094 | 0.04421555870808969,SHAP/100 Local Shap/shap_tuples_non_prefix_159.json
166,GOOD CREDIT RISK,BAD CREDIT RISK,0.5612340231495221,True,employment_<1 | checking_status_no checking | duration,increase_risk | increase_risk | decrease_risk,0.05411781198687913 | 0.053114686030921066 | -0.04024777739979931,SHAP/100 Local Shap/shap_tuples_non_prefix_166.json
168,BAD CREDIT RISK,GOOD CREDIT RISK,0.5055750161040077,True,checking_status_<0 | savings_status_<100 | checking_status_no checking,increase_risk | decrease_risk | increase_risk,0.05795328031514734 | -0.052088893213883256 | 0.04254894157836445,SHAP/100 Local Shap/shap_tuples_non_prefix_168.json
170,BAD CREDIT RISK,GOOD CREDIT RISK,0.4728620117125366,True,savings_status_no known savings | credit_amount | savings_status_<100,decrease_risk | increase_risk | decrease_risk,-0.07592261948155633 | 0.06458643420686788 | -0.04583014982297688,SHAP/100 Local Shap/shap_tuples_non_prefix_170.json
175,GOOD CREDIT RISK,BAD CREDIT RISK,0.7004192118218345,True,checking_status_<0 | checking_status_no checking | duration,increase_risk | increase_risk | increase_risk,0.05814734682013062 | 0.05327781782058579 | 0.05252944237034491,SHAP/100 Local Shap/shap_tuples_non_prefix_175.json
181,GOOD CREDIT RISK,BAD CREDIT RISK,0.6480701311314812,True,checking_status_<0 | checking_status_no checking | duration,increase_risk | increase_risk | increase_risk,0.09108321358715146 | 0.06555382415370513 | 0.038185346539448925,SHAP/100 Local Shap/shap_tuples_non_prefix_181.json
22,BAD CREDIT RISK,GOOD CREDIT RISK,0.19743951473561233,True,checking_status_no checking | credit_history_critical/other existing credit | duration,decrease_risk | decrease_risk | decrease_risk,-0.10167828729594296 | -0.07712896183091232 | -0.042887562772525055,SHAP/100 Local Shap/shap_tuples_non_prefix_22.json
55,BAD CREDIT RISK,GOOD CREDIT RISK,0.4410415036404757,True,checking_status_<0 | savings_status_no known savings | savings_status_<100,increase_risk | decrease_risk | decrease_risk,0.06975659702169981 | -0.051079805563102265 | -0.050886569747930835,SHAP/100 Local Shap/shap_tuples_non_prefix_55.json
60,BAD CREDIT RISK,GOOD CREDIT RISK,0.36434088841184237,True,duration | checking_status_no checking | checking_status_<0,decrease_risk | increase_risk | decrease_risk,-0.07903221385317298 | 0.05592282409856503 | -0.03644066916965744,SHAP/100 Local Shap/shap_tuples_non_prefix_60.json
70,BAD CREDIT RISK,GOOD CREDIT RISK,0.416218434911787,True,duration | credit_amount | savings_status_no known savings,decrease_risk | increase_risk | decrease_risk,-0.10596596665858658 | 0.07691639153905024 | -0.05569339362780266,SHAP/100 Local Shap/shap_tuples_non_prefix_70.json
71,GOOD CREDIT RISK,BAD CREDIT RISK,0.6219263797539092,True,checking_status_<0 | checking_status_no checking | duration,increase_risk | increase_risk | decrease_risk,0.053181857219291126 | 0.05253742687137628 | -0.047818612105946505,SHAP/100 Local Shap/shap_tuples_non_prefix_71.json
74,BAD CREDIT RISK,GOOD CREDIT RISK,0.4911953216487532,True,duration | checking_status_no checking | employment_<1,decrease_risk | increase_risk | increase_risk,-0.07977030609548456 | 0.053598012642363864 | 0.04963323941280509,SHAP/100 Local Shap/shap_tuples_non_prefix_74.json
77,BAD CREDIT RISK,GOOD CREDIT RISK,0.1620945896462615,True,checking_status_no checking | duration | checking_status_<0,decrease_risk | decrease_risk | decrease_risk,-0.11722565897644824 | -0.0699035202478814 | -0.04886000393865014,SHAP/100 Local Shap/shap_tuples_non_prefix_77.json
8,GOOD CREDIT RISK,BAD CREDIT RISK,0.581516487118843,True,checking_status_no checking | checking_status_<0 | employment_4<=X<7,increase_risk | decrease_risk | decrease_risk,0.056470957722828924 | -0.03115038964513736 | -0.0303071918853672,SHAP/100 Local Shap/shap_tuples_non_prefix_8.json
82,BAD CREDIT RISK,GOOD CREDIT RISK,0.4975811111260475,True,savings_status_<100 | checking_status_no checking | duration,decrease_risk | increase_risk | increase_risk,-0.05875376965047115 | 0.04365508592449993 | 0.0335510353555169,SHAP/100 Local Shap/shap_tuples_non_prefix_82.json
88,BAD CREDIT RISK,GOOD CREDIT RISK,0.5408117082725549,True,checking_status_<0 | checking_status_no checking | duration,increase_risk | increase_risk | decrease_risk,0.05477911821514624 | 0.051435431817938346 | -0.0505698369290239,SHAP/100 Local Shap/shap_tuples_non_prefix_88.json
