sample_idx,sigma_group,decision_boundary_abs_distance,true_class,true_label,predicted_class,predicted_label,is_correct,probability_raw_bad_probability,probability_raw_good_probability,bad_prediction_confidence,feature_duration,feature_credit_amount,feature_installment_commitment,feature_age,feature_existing_credits,feature_checking_status_0<=X<200,feature_checking_status_<0,feature_checking_status_>=200,feature_checking_status_no checking,feature_credit_history_all paid,feature_credit_history_critical/other existing credit,feature_credit_history_delayed previously,feature_credit_history_existing paid,feature_credit_history_no credits/all paid,feature_purpose_business,feature_purpose_domestic appliance,feature_purpose_education,feature_purpose_furniture/equipment,feature_purpose_new car,feature_purpose_other,feature_purpose_radio/tv,feature_purpose_repairs,feature_purpose_retraining,feature_purpose_used car,feature_savings_status_100<=X<500,feature_savings_status_500<=X<1000,feature_savings_status_<100,feature_savings_status_>=1000,feature_savings_status_no known savings,feature_employment_1<=X<4,feature_employment_4<=X<7,feature_employment_<1,feature_employment_>=7,feature_employment_unemployed,feature_housing_for free,feature_housing_own,feature_housing_rent,feature_job_high qualif/self emp/mgmt,feature_job_skilled,feature_job_unemp/unskilled non res,feature_job_unskilled resident,feature_Sex,feature_Married
77,outside_1sigma,0.3979054103537385,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.1620945896462615,0.8379054103537384,0.1620945896462615,9.0,1478.0,4.0,22.0,1.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
64,outside_1sigma,0.3696432615669061,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.190356738433094,0.809643261566906,0.190356738433094,12.0,1386.0,2.0,26.0,1.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
22,outside_1sigma,0.3625604852643878,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.1974395147356123,0.8025604852643876,0.1974395147356123,12.0,2292.0,4.0,42.0,2.0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
109,outside_1sigma,0.335495061824442,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.224504938175558,0.775495061824442,0.224504938175558,18.0,2775.0,2.0,31.0,2.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
110,outside_1sigma,0.2495604192514215,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.3104395807485785,0.6895604192514215,0.3104395807485785,48.0,10127.0,2.0,44.0,1.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
111,outside_1sigma,0.2476481522817774,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.3123518477182226,0.6876481522817773,0.3123518477182226,24.0,4591.0,2.0,54.0,3.0,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
49,outside_1sigma,0.2143804899448647,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.3456195100551353,0.6543804899448646,0.3456195100551353,12.0,1484.0,2.0,25.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,True
60,outside_1sigma,0.1956591115881576,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.3643408884118424,0.6356591115881576,0.3643408884118424,9.0,745.0,3.0,28.0,1.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
4,outside_1sigma,0.1869959886677973,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.3730040113322027,0.6269959886677974,0.3730040113322027,27.0,2520.0,4.0,23.0,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
39,within_1sigma,0.1761240174472385,0,GOOD CREDIT RISK,1,BAD CREDIT RISK,False,0.7361240174472385,0.2638759825527614,0.7361240174472385,36.0,15857.0,2.0,43.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
183,within_1sigma,0.1516459758965055,0,GOOD CREDIT RISK,1,BAD CREDIT RISK,False,0.7116459758965056,0.2883540241034944,0.7116459758965056,24.0,3149.0,4.0,22.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
121,within_1sigma,0.1483648583569176,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.4116351416430824,0.5883648583569177,0.4116351416430824,12.0,3499.0,3.0,29.0,2.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
70,within_1sigma,0.143781565088213,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.416218434911787,0.583781565088213,0.416218434911787,6.0,14555.0,1.0,23.0,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False
175,within_1sigma,0.1404192118218343,0,GOOD CREDIT RISK,1,BAD CREDIT RISK,False,0.7004192118218344,0.2995807881781656,0.7004192118218344,36.0,3959.0,4.0,30.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
3,within_1sigma,0.1293535580959554,0,GOOD CREDIT RISK,1,BAD CREDIT RISK,False,0.6893535580959554,0.3106464419040445,0.6893535580959554,18.0,3104.0,3.0,31.0,1.0,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
149,within_1sigma,0.1284576547246353,1,BAD CREDIT RISK,0,GOOD CREDIT RISK,False,0.4315423452753647,0.5684576547246353,0.4315423452753647,6.0,1209.0,4.0,47.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
35,within_1sigma,0.1280240101591649,0,GOOD CREDIT RISK,1,BAD CREDIT RISK,False,0.688024010159165,0.3119759898408349,0.688024010159165,24.0,2384.0,4.0,64.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
