sample_idx,true_class,predicted_class,predicted_confidence,true_label,predicted_label,is_correct,source_json,warning_type
0,1,1,0.8014434544460315,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_0.json,none
1,0,0,0.9008817052036849,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_1.json,none
2,0,0,0.8908916775527357,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_2.json,none
3,0,0,0.9201456789917672,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_3.json,none
4,0,0,0.8035238500818336,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_4.json,weak_warning
5,1,1,0.7381148789891544,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_5.json,none
6,0,0,0.6964994225612436,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_6.json,strong_warning
7,1,1,0.6534274535732298,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_7.json,none
8,0,0,0.893618397412734,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_8.json,none
9,0,1,0.4870480506060023,GOOD CREDIT RISK,BAD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_9.json,weak_warning
10,0,0,0.8603436980710943,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_10.json,none
11,1,0,0.7446369866794645,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_11.json,weak_warning
12,0,1,0.6142406251014095,GOOD CREDIT RISK,BAD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_12.json,none
13,1,0,0.6619827597390392,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_13.json,strong_warning
14,1,1,0.5908352778558719,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_14.json,weak_warning
15,0,0,0.864351081235516,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_15.json,none
16,1,0,0.6962890850949988,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_16.json,strong_warning
17,1,1,0.6534593804891817,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_17.json,none
18,0,1,0.4588950446560972,GOOD CREDIT RISK,BAD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_18.json,strong_warning
19,0,0,0.8240474824744273,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_19.json,none
20,1,1,0.6593604906183115,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_20.json,none
21,0,0,0.9377523631026785,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_21.json,none
22,1,1,0.4699029128356975,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_22.json,strong_warning
23,1,0,0.9062007443063385,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_23.json,none
24,0,0,0.8390536274603924,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_24.json,none
25,1,0,0.6889940884462431,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_25.json,strong_warning
26,0,0,0.8405359062295993,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_26.json,none
27,0,1,0.7311820836157418,GOOD CREDIT RISK,BAD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_27.json,none
28,1,1,0.8144194458425712,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_28.json,none
29,0,0,0.7738989991915826,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_29.json,weak_warning
30,1,1,0.413889882060208,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_30.json,strong_warning
31,0,0,0.8863932069367786,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_31.json,none
32,1,0,0.8356529280346641,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_32.json,none
33,1,1,0.46652103216281493,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_33.json,strong_warning
34,0,0,0.8905281845568481,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_34.json,none
35,1,0,0.6739197455359973,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_35.json,strong_warning
36,0,0,0.7225395337457475,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_36.json,weak_warning
37,0,0,0.8608484509964095,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_37.json,none
38,0,0,0.8085225337046987,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_38.json,weak_warning
39,1,1,0.5470726573990548,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_39.json,weak_warning
40,0,0,0.8975614413102792,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_40.json,none
41,0,0,0.7859522467016066,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_41.json,weak_warning
42,1,1,0.5117911353046871,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_42.json,weak_warning
43,1,1,0.5328702217929253,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_43.json,weak_warning
44,0,0,0.8350956429989459,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_44.json,none
45,0,0,0.6904384146999958,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_45.json,strong_warning
46,0,0,0.8994414229589641,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_46.json,none
47,1,1,0.5995675139930288,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_47.json,weak_warning
48,1,1,0.3994800040263643,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_48.json,strong_warning
49,1,1,0.6966948190796294,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_49.json,none
50,0,0,0.8555346785092625,GOOD CREDIT RISK,GOOD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_50.json,none
