sample_idx,true_class,predicted_class,predicted_confidence,true_label,predicted_label,is_correct,source_json,warning_type
0,1,1,0.8014434544460315,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_0.json,none
5,1,1,0.7381148789891544,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_5.json,none
7,1,1,0.6534274535732298,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_7.json,none
11,1,0,0.7446369866794645,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_11.json,weak_warning
13,1,0,0.6619827597390392,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_13.json,strong_warning
14,1,1,0.5908352778558719,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_14.json,weak_warning
16,1,0,0.6962890850949988,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_16.json,strong_warning
17,1,1,0.6534593804891817,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_17.json,none
20,1,1,0.6593604906183115,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_20.json,none
22,1,1,0.4699029128356975,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_22.json,strong_warning
23,1,0,0.9062007443063385,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_23.json,none
25,1,0,0.6889940884462431,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_25.json,strong_warning
28,1,1,0.8144194458425712,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_28.json,none
30,1,1,0.413889882060208,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_30.json,strong_warning
32,1,0,0.8356529280346641,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_32.json,none
33,1,1,0.46652103216281493,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_33.json,strong_warning
35,1,0,0.6739197455359973,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_35.json,strong_warning
39,1,1,0.5470726573990548,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_39.json,weak_warning
42,1,1,0.5117911353046871,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_42.json,weak_warning
43,1,1,0.5328702217929253,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_43.json,weak_warning
47,1,1,0.5995675139930288,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_47.json,weak_warning
48,1,1,0.3994800040263643,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_48.json,strong_warning
49,1,1,0.6966948190796294,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_49.json,none
51,1,1,0.7999336365603155,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_51.json,none
53,1,1,0.5291493965093776,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_53.json,weak_warning
54,1,0,0.5975205478581416,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_54.json,strong_warning
56,1,0,0.65070030968435,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_56.json,strong_warning
61,1,0,0.7460388818256952,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_61.json,weak_warning
62,1,1,0.41223574541059343,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_62.json,strong_warning
63,1,1,0.7112861092079535,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_63.json,none
66,1,0,0.8764939986105391,BAD CREDIT RISK,GOOD CREDIT RISK,False,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_66.json,none
70,1,1,0.6940986792341206,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_70.json,none
76,1,1,0.7289818363068694,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_76.json,none
79,1,1,0.6772763209442967,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_79.json,none
94,1,1,0.7129348933163879,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_94.json,none
100,1,1,0.6352321550249808,BAD CREDIT RISK,BAD CREDIT RISK,True,/root/AML/SHAP/Test Dataset Local Shap 25/shap_tuples_non_prefix_100.json,none
