feature,mean_abs_shap
checking_status_no checking,0.07145152535165913
duration,0.053291768628219875
checking_status_<0,0.0440419649349565
credit_amount,0.0313584933254391
savings_status_<100,0.026863123010041425
installment_commitment,0.017835684793777316
employment_<1,0.016909415451013456
age,0.016191915680358913
checking_status_0<=X<200,0.01583218798389639
purpose_radio/tv,0.014779015558175273
housing_rent,0.013581650126582754
savings_status_no known savings,0.01279326890808283
purpose_used car,0.010654609694345696
employment_4<=X<7,0.009760684208451036
credit_history_no credits/all paid,0.00962527707991484
purpose_education,0.009111469714495505
Married,0.00867370098685482
credit_history_all paid,0.0081873998975138
existing_credits,0.007947503474699238
job_unskilled resident,0.006601222063740022
credit_history_delayed previously,0.005965552843967223
job_high qualif/self emp/mgmt,0.00564230704326393
housing_for free,0.005474840838460417
employment_1<=X<4,0.004754418108226211
employment_>=7,0.004129098092450445
savings_status_>=1000,0.0038713117316429525
savings_status_100<=X<500,0.0038236742161429933
checking_status_>=200,0.0024130992606932566
purpose_repairs,0.0016268220296646986
savings_status_500<=X<1000,0.0014693556427895827
job_unemp/unskilled non res,0.0008538832462723453
purpose_domestic appliance,0.0004846110860544625
purpose_retraining,0.0003111272118338504
purpose_other,0.00021732703775432686
