feature,mean_abs_shap
checking_status_no checking,0.07408249764682853
duration,0.04316548967440436
checking_status_<0,0.04310935061750726
credit_history_critical/other existing credit,0.030097028990566935
savings_status_<100,0.025715742950792507
credit_amount,0.022397180621268525
checking_status_0<=X<200,0.01555059328533454
savings_status_no known savings,0.015095028037160823
employment_<1,0.014857411713823505
installment_commitment,0.014713572952352332
housing_own,0.014660632561913956
purpose_radio/tv,0.013325047366067176
age,0.013025707851357872
purpose_new car,0.008545799052769792
employment_4<=X<7,0.008501597019172023
purpose_used car,0.008434419743829066
Sex,0.007695069299280892
housing_rent,0.006387445126062066
Married,0.0053554149546869
purpose_education,0.004775202678619812
credit_history_no credits/all paid,0.0043841344295186355
job_skilled,0.0042308435522347195
credit_history_all paid,0.004194897795287718
employment_1<=X<4,0.0033123518780567938
savings_status_>=1000,0.003270379238873207
employment_>=7,0.0031831346527991028
housing_for free,0.0030951376951485463
existing_credits,0.0026955570228437086
credit_history_existing paid,0.002581363608463669
job_high qualif/self emp/mgmt,0.0025221902354742908
savings_status_500<=X<1000,0.0023867585396850377
job_unskilled resident,0.0022853911107591045
purpose_furniture/equipment,0.0022508195540562412
savings_status_100<=X<500,0.0022061476033549444
employment_unemployed,0.001943729610839377
credit_history_delayed previously,0.001794258760018353
checking_status_>=200,0.0014640491408655306
purpose_business,0.0014313898125333337
purpose_repairs,0.00030017516237145967
job_unemp/unskilled non res,8.946919537192383e-05
purpose_other,4.1653561088962465e-05
purpose_retraining,3.090019071179732e-05
purpose_domestic appliance,1.2367076526110514e-05
