checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,6.0,5,4,1169.0,5,5,4.0,3,1,4.0,1,67.0,none,own,2.0,skilled,1.0,yes,yes,good
2,48.0,3,4,5951.0,1,3,2.0,2,1,2.0,1,22.0,none,own,1.0,skilled,1.0,none,yes,bad
4,12.0,5,7,2096.0,1,4,2.0,3,1,3.0,1,49.0,none,own,1.0,unskilled resident,2.0,none,yes,good
1,42.0,3,3,7882.0,1,4,2.0,3,3,4.0,2,45.0,none,for free,1.0,skilled,2.0,none,yes,good
1,24.0,4,1,4870.0,1,3,3.0,3,1,4.0,4,53.0,none,for free,2.0,skilled,2.0,none,yes,bad
4,36.0,3,7,9055.0,5,3,2.0,3,1,4.0,4,35.0,none,for free,1.0,unskilled resident,2.0,yes,yes,good
4,24.0,3,3,2835.0,3,5,3.0,3,1,4.0,2,53.0,none,own,1.0,skilled,1.0,none,yes,good
2,36.0,3,2,6948.0,1,3,2.0,3,1,2.0,3,35.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
4,12.0,3,4,3059.0,4,4,2.0,1,1,4.0,1,61.0,none,own,1.0,unskilled resident,1.0,none,yes,good
2,30.0,5,1,5234.0,1,1,4.0,4,1,2.0,3,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
2,12.0,3,1,1295.0,1,2,3.0,2,1,1.0,3,25.0,none,rent,1.0,skilled,1.0,none,yes,bad
1,48.0,3,9,4308.0,1,2,3.0,2,1,4.0,2,24.0,none,rent,1.0,skilled,1.0,none,yes,bad
2,12.0,3,4,1567.0,1,3,1.0,2,1,1.0,3,22.0,none,own,1.0,skilled,1.0,yes,yes,good
1,24.0,5,1,1199.0,1,5,4.0,3,1,4.0,3,60.0,none,own,2.0,unskilled resident,1.0,none,yes,bad
1,15.0,3,1,1403.0,1,3,2.0,2,1,4.0,3,28.0,none,rent,1.0,skilled,1.0,none,yes,good
1,24.0,3,4,1282.0,2,3,4.0,2,1,2.0,3,32.0,none,own,1.0,unskilled resident,1.0,none,yes,bad
4,24.0,5,4,2424.0,5,5,4.0,3,1,4.0,2,53.0,none,own,2.0,skilled,1.0,none,yes,good
1,30.0,1,9,8072.0,5,2,2.0,3,1,3.0,3,25.0,bank,own,3.0,skilled,1.0,none,yes,good
2,24.0,3,2,12579.0,1,5,4.0,2,1,2.0,4,44.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
4,24.0,3,4,3430.0,3,5,3.0,3,1,2.0,3,31.0,none,own,1.0,skilled,2.0,yes,yes,good
4,9.0,5,1,2134.0,1,3,4.0,3,1,4.0,3,48.0,none,own,3.0,skilled,1.0,yes,yes,good
